"longitude","latitude","individual","species","datatype","vol_no","phase"
-16.3369960784912,16.7450637817383,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3392505645752,16.7475433349609,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3394317626953,16.7475242614746,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3420848846436,16.7481250762939,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3420734405518,16.7480926513672,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3417453765869,16.7477054595947,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3378849029541,16.7479209899902,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3395614624023,16.747314453125,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3386631011963,16.7477989196777,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3390102386475,16.7473258972168,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3392181396484,16.747350692749,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3371849060059,16.7448272705078,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3374042510986,16.7448139190674,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.338321685791,16.7443943023682,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3379459381104,16.7477722167969,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3273448944092,16.7514057159424,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3264350891113,16.7534046173096,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.327392578125,16.7535305023193,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
